開放粵語字典（粵拼版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［繁體字］	［簡體字］	［粵拼］
邳	邳	pei4
郫	郫	pei4
琵	琵	pei4
毗	毗	pei4
疲	疲	pei4
貔	貔	pei4
被	被	pei5
婢	婢	pei5
劈	劈	pek3
霹	霹	pik1
僻	僻	pik1
辟	辟	pik1
闢	辟	pik1
癖	癖	pik1
篇	篇	pin1
編	编	pin1
偏	偏	pin1
扁	扁	pin1
翩	翩	pin1
蝙	蝙	pin1/bin1
片	片	pin2
片	片	pin2
騙	骗	pin3
遍	遍	pin3
片	片	pin3
便	便	pin4
駢	骈	pin4
姘	姘	ping1
怦	怦	ping1
娉	娉	ping1
抨	抨	ping1
砰	砰	ping1
拼	拼	ping1/ping3
聘	聘	ping3
萍	萍	ping4
瓶	瓶	ping4
評	评	ping4
蘋	苹	ping4
坪	坪	ping4
屏	屏	ping4
平	平	ping4
瞥	瞥	pit3
撇	撇	pit3
漂	漂	piu1
飄	飘	piu1
嘌	嘌	piu1
縹	缥	piu1
漂	漂	piu3
票	票	piu3
剽	剽	piu3/piu5
嫖	嫖	piu4
瓢	瓢	piu4
朴	朴	piu4
瞟	瞟	piu5
鰾	鳔	piu5
頗	颇	po1
坡	坡	po1/bo1
棵	棵	po1/fo2
叵	叵	po2
頗	颇	po2
笸	笸	po2
破	破	po3
婆	婆	po4
鄱	鄱	po4/bo3
璞	璞	pok3
樸	朴	pok3
撲	扑	pok3
噗	噗	pok3
釙	钋	pok3
粕	粕	pok3/paak3
謗	谤	pong3
彷	彷	pong4
龐	庞	pong4
磅	磅	pong4
旁	旁	pong4
膀	膀	pong4
螃	螃	pong4
滂	滂	pong4
蚌	蚌	pong5
鋪	铺	pou1
譜	谱	pou2
溥	溥	pou2
普	普	pou2
浦	浦	pou2
脯	脯	pou2/fu2
舖	铺	pou3
菩	菩	pou4
脯	脯	pou4
袍	袍	pou4
匍	匍	pou4
葡	葡	pou4
蒲	蒲	pou4
莆	莆	pou4
泡	泡	pou5
抱	抱	pou5
坯	坯	pui1
胚	胚	pui1
配	配	pui3
佩	佩	pui3
霈	霈	pui3
珮	珮	pui3
沛	沛	pui3
徘	徘	pui4
裴	裴	pui4
賠	赔	pui4
培	培	pui4
陪	陪	pui4
倍	倍	pui5
蓓	蓓	pui5/pui4
仆	仆	puk1
潘	潘	pun1
番	番	pun1
拚	拚	pun3
判	判	pun3
蟠	蟠	pun4
盤	盘	pun4
槃	槃	pun4
盆	盆	pun4
磐	磐	pun4
蹣	蹒	pun4/mun4
捧	捧	pung2/bung2
碰	碰	pung3
芃	芃	pung4
篷	篷	pung4
蓬	蓬	pung4/fung4
潑	泼	put3
裟	裟	saa1
砂	砂	saa1
沙	沙	saa1
卅	卅	saa1
鯊	鲨	saa1
紗	纱	saa1
莎	莎	saa1
啥	啥	saa1
痧	痧	saa1
灑	洒	saa2
耍	耍	saa2
徙	徙	saai2
璽	玺	saai2
曬	晒	saai3
索	索	saak3/sok3
叄	叁	saam1
仨	仨	saam1
衫	衫	saam1
三	三	saam1
三	三	saam3
潸	潸	saan1
拴	拴	saan1
跚	跚	saan1
姍	姗	saan1
舢	舢	saan1
刪	删	saan1
珊	珊	saan1
栓	栓	saan1
山	山	saan1
閂	闩	saan1
散	散	saan2
篡	篡	saan3
汕	汕	saan3
疝	疝	saan3
傘	伞	saan3
涮	涮	saan3
散	散	saan3
訕	讪	saan3
孱	孱	saan4
潺	潺	saan4
甥	甥	saang1
牲	牲	saang1
省	省	saang2
圾	圾	saap3
颯	飒	saap3
薩	萨	saat3
煞	煞	saat3
殺	杀	saat3
撒	撒	saat3
剎	刹	saat3
鎩	铩	saat3
捎	捎	saau1
梢	梢	saau1
稍	稍	saau2
哨	哨	saau3
舾	舾	sai1
西	西	sai1
篩	筛	sai1
犀	犀	sai1
嘶	嘶	sai1
硒	硒	sai1
駛	驶	sai2
洗	洗	sai2
使	使	sai2
世	世	sai3
婿	婿	sai3
勢	势	sai3
細	细	sai3
舐	舐	sai5/sai2
噬	噬	sai6
逝	逝	sai6
筮	筮	sai6
誓	誓	sai6
噻	噻	sak1
塞	塞	sak1
郴	郴	sam1
參	参	sam1
芯	芯	sam1
心	心	sam1
深	深	sam1
琛	琛	sam1
森	森	sam1
審	审	sam2
瀋	沈	sam2
嬸	婶	sam2
沈	沈	sam2
滲	渗	sam3
沁	沁	sam3
涔	涔	sam4
忱	忱	sam4
梣	梣	sam4
岑	岑	sam4
甚	甚	sam6
椹	葚	sam6
什	什	sam6
身	身	san1
薪	薪	san1
莘	莘	san1
鋅	锌	san1
辛	辛	san1
紳	绅	san1
申	申	san1
砷	砷	san1
娠	娠	san1
呻	呻	san1
伸	伸	san1
新	新	san1
燊	燊	san1
晨	晨	san4
臣	臣	san4
神	神	san4
辰	辰	san4
腎	肾	san5
慎	慎	san6
蜃	蜃	san6/san5
笙	笙	sang1
生	生	sang1/saang1
蹭	蹭	sang3
擤	擤	sang3
濕	湿	sap1
澀	涩	sap1/sik1/gip3
霎	霎	sap3
拾	拾	sap6
十	十	sap6
蝨	虱	sat1
室	室	sat1
失	失	sat1
瑟	瑟	sat1
膝	膝	sat1
實	实	sat6
螋	螋	sau1
收	收	sau1
嗖	嗖	sau1
餿	馊	sau1
修	修	sau1
羞	羞	sau1
颼	飕	sau1
搜	搜	sau1/sau2
擻	擞	sau2
首	首	sau2
手	手	sau2
搜	搜	sau2
嗾	嗾	sau2
守	守	sau2
艘	艘	sau2/sau1
瘦	瘦	sau3
琇	琇	sau3
嗽	嗽	sau3
狩	狩	sau3
鏽	锈	sau3
漱	漱	sau3
秀	秀	sau3
宿	宿	sau3
獸	兽	sau3
繡	绣	sau3
愁	愁	sau4
仇	仇	sau4
受	受	sau6
綬	绶	sau6
售	售	sau6
壽	寿	sau6
授	授	sau6
些	些	se1
寫	写	se2
捨	舍	se2
舍	舍	se3
猞	猞	se3
赦	赦	se3
瀉	泻	se3
卸	卸	se3
畲	畲	se4
蛇	蛇	se4
社	社	se5
射	射	se6
麝	麝	se6
死	死	sei2
四	四	sei3
錫	锡	sek3
石	石	sek6
碩	硕	sek6
衰	衰	seoi1
濉	濉	seoi1
綏	绥	seoi1
荽	荽	seoi1
須	须	seoi1
胥	胥	seoi1
雖	虽	seoi1
需	需	seoi1
睢	睢	seoi1
水	水	seoi2
稅	税	seoi3
帥	帅	seoi3
說	说	seoi3
碎	碎	seoi3
歲	岁	seoi3
垂	垂	seoi4
誰	谁	seoi4
髓	髓	seoi5
墅	墅	seoi5
緒	绪	seoi5
絮	絮	seoi5/seoi6
祟	祟	seoi6
睡	睡	seoi6
悴	悴	seoi6
遂	遂	seoi6
粹	粹	seoi6
燧	燧	seoi6
邃	邃	seoi6
萃	萃	seoi6
穗	穗	seoi6
隧	隧	seoi6
瑞	瑞	seoi6
瘁	瘁	seoi6/seoi5
芯	芯	seon1
殉	殉	seon1
峋	峋	seon1
詢	询	seon1
荀	荀	seon1
榫	榫	seon2
筍	笋	seon2
舜	舜	seon3
信	信	seon3
浚	浚	seon3
訊	讯	seon3
汛	汛	seon3
遜	逊	seon3
迅	迅	seon3
巽	巽	seon3
瞬	瞬	seon3
囟	囟	seon3/seon2
脣	唇	seon4
淳	淳	seon4
純	纯	seon4
醇	醇	seon4
鶉	鹑	seon4/ceon1
順	顺	seon6
蟀	蟀	seot1
戌	戌	seot1
恤	恤	seot1
率	率	seot1
摔	摔	seot1
沭	沭	seot6
述	述	seot6
術	术	seot6
施	施	si1
斯	斯	si1
師	师	si1
絲	丝	si1
私	私	si1
撕	撕	si1
獅	狮	si1
尸	尸	si1
詩	诗	si1
司	司	si1
思	思	si1
廝	厮	si1
屍	尸	si1
蓍	蓍	si1
使	使	si2
屎	屎	si2
史	史	si2
使	使	si3
嗜	嗜	si3
駟	驷	si3
諡	谥	si3
肆	肆	si3
弒	弑	si3
試	试	si3
泗	泗	si3
鰣	鲥	si4
蒔	莳	si4
匙	匙	si4
時	时	si4
市	市	si5
侍	侍	si6
事	事	si6
士	士	si6
是	是	si6
伺	伺	si6
視	视	si6
氏	氏	si6
豉	豉	si6
示	示	si6
仕	仕	si6
昔	昔	sik1
螫	螫	sik1
悉	悉	sik1
蟋	蟋	sik1
淅	淅	sik1
釋	释	sik1
嗇	啬	sik1
軾	轼	sik1
適	适	sik1
色	色	sik1
析	析	sik1
晰	晰	sik1
熄	熄	sik1
皙	皙	sik1
息	息	sik1
蜥	蜥	sik1
識	识	sik1
惜	惜	sik1
銫	铯	sik1
式	式	sik1
飾	饰	sik1
拭	拭	sik1
媳	媳	sik1
蝕	蚀	sik6
食	食	sik6
閃	闪	sim2
陝	陕	sim2
禪	禅	sim4
單	单	sim4
蟾	蟾	sim4
贍	赡	sim6
先	先	sin1
酰	酰	sin1
仙	仙	sin1
鮮	鲜	sin1
氙	氙	sin1/saan1
跣	跣	sin2
鮮	鲜	sin2
冼	冼	sin2
癬	癣	sin2
煽	煽	sin3
扇	扇	sin3
騸	骟	sin3
霰	霰	sin3
腺	腺	sin3
線	线	sin3
蟬	蝉	sin4
鱔	鳝	sin5
繕	缮	sin6
羨	羡	sin6
鄯	鄯	sin6
倩	倩	sin6
膳	膳	sin6
擅	擅	sin6
善	善	sin6
單	单	sin6
禪	禅	sin6
撣	掸	sin6
嬗	嬗	sin6
茜	茜	sin6/sai1
惺	惺	sing1
猩	猩	sing1
陞	升	sing1
星	星	sing1
勝	胜	sing1
升	升	sing1
昇	升	sing1
腥	腥	sing1/seng1
聲	声	sing1/seng1
省	省	sing2
醒	醒	sing2/seng2
聖	圣	sing3
勝	胜	sing3
姓	姓	sing3
性	性	sing3
成	成	sing4
乘	乘	sing4
丞	丞	sing4
承	承	sing4
盛	盛	sing4
繩	绳	sing4
誠	诚	sing4
澠	渑	sing4
城	城	sing4
盛	盛	sing6
剩	剩	sing6
嵊	嵊	sing6
涉	涉	sip3
歙	歙	sip3
攝	摄	sip3
懾	慑	sip3/zip3
褻	亵	sit3
屑	屑	sit3
洩	泄	sit3
舌	舌	sit3
薛	薛	sit3
竊	窃	sit3
絏	绁	sit3
楔	楔	sit3
揳	揳	sit3/sip3
霄	霄	siu1
魈	魈	siu1
瀟	潇	siu1
韶	韶	siu1
銷	销	siu1
燒	烧	siu1
蕭	萧	siu1
硝	硝	siu1
逍	逍	siu1
消	消	siu1
宵	宵	siu1
簫	箫	siu1
筱	筱	siu2
少	少	siu2
小	小	siu2
少	少	siu3
嘯	啸	siu3
笑	笑	siu3
紹	绍	siu6
邵	邵	siu6
兆	兆	siu6
肇	肇	siu6
劭	劭	siu6
嗦	嗦	so1
唆	唆	so1
蔬	蔬	so1
疏	疏	so1
蓑	蓑	so1
羧	羧	so1
梳	梳	so1
梭	梭	so1
嗩	唢	so2
瑣	琐	so2
鎖	锁	so2
所	所	so2
傻	傻	so4
鑠	铄	soek3
削	削	soek3
爍	烁	soek3
相	相	soeng1
傷	伤	soeng1
襄	襄	soeng1
鸘	鹴	soeng1
箱	箱	soeng1
湘	湘	soeng1
觴	觞	soeng1
鑲	镶	soeng1
霜	霜	soeng1
孀	孀	soeng1
廂	厢	soeng1
商	商	soeng1
殤	殇	soeng1
雙	双	soeng1
想	想	soeng2
鯗	鲞	soeng2
賞	赏	soeng2
相	相	soeng3
裳	裳	soeng4
嫦	嫦	soeng4
嚐	尝	soeng4
嘗	尝	soeng4
徜	徜	soeng4
償	偿	soeng4
常	常	soeng4
上	上	soeng5
尚	尚	soeng6
上	上	soeng6
腮	腮	soi1
鰓	鳃	soi1
說	说	sok3
朔	朔	sok3
索	索	sok3
桑	桑	song1
喪	丧	song1
搡	搡	song2
嗓	嗓	song2
爽	爽	song2
喪	丧	song3
穌	稣	sou1
酥	酥	sou1
囌	苏	sou1
騷	骚	sou1
蘇	苏	sou1
搔	搔	sou1
甦	甦	sou1
臊	臊	sou1
鬚	须	sou1
數	数	sou2
嫂	嫂	sou2
數	数	sou3
塑	塑	sou3
訴	诉	sou3
愫	愫	sou3
掃	扫	sou3
素	素	sou3
臊	臊	sou3
溯	溯	sou3
叔	叔	suk1
縮	缩	suk1
肅	肃	suk1
粟	粟	suk1
倏	倏	suk1
鷫	鹔	suk1
蓿	蓿	suk1
夙	夙	suk1
僳	僳	suk1
宿	宿	suk1
淑	淑	suk6
菽	菽	suk6
蜀	蜀	suk6
孰	孰	suk6
贖	赎	suk6
屬	属	suk6
塾	塾	suk6
熟	熟	suk6
忪	忪	sung1
嵩	嵩	sung1
從	从	sung1
淞	淞	sung1
鬆	松	sung1
悚	悚	sung2
慫	怂	sung2
聳	耸	sung2
竦	竦	sung2
送	送	sung3
宋	宋	sung3
崇	崇	sung4
樞	枢	syu1
書	书	syu1
舒	舒	syu1
抒	抒	syu1
輸	输	syu1
紓	纾	syu1
鼠	鼠	syu2
暑	暑	syu2
黍	黍	syu2
恕	恕	syu3
庶	庶	syu3
戍	戍	syu3
殊	殊	syu4
薯	薯	syu4
樹	树	syu6
豎	竖	syu6
宣	宣	syun1
狻	狻	syun1
瑄	瑄	syun1
飧	飧	syun1
酸	酸	syun1
悛	悛	syun1
蓀	荪	syun1
猻	狲	syun1
孫	孙	syun1
選	选	syun2
損	损	syun2
蒜	蒜	syun3
算	算	syun3
渲	渲	syun3/hyun1
璇	璇	syun4
旋	旋	syun4
船	船	syun4
漩	漩	syun4
吮	吮	syun5
雋	隽	syun5
篆	篆	syun6
說	说	syut3
雪	雪	syut3
鱈	鳕	syut3
她	她	taa1
他	他	taa1
鉈	铊	taa1
牠	它	taa1
祂	他	taa1
它	它	taa1
肽	肽	taai3
泰	泰	taai3
太	太	taai3
態	态	taai3
貸	贷	taai3
汰	汰	taai3
鈦	钛	taai3
傣	傣	taai3
貪	贪	taam1
毯	毯	taam2
探	探	taam3
罈	坛	taam3
覃	覃	taam4
談	谈	taam4
曇	昙	taam4
潭	潭	taam4
譚	谭	taam4
澹	澹	taam4
郯	郯	taam4
痰	痰	taam4
淡	淡	taam5
癱	瘫	taan1
攤	摊	taan1
灘	滩	taan1
坍	坍	taan1
坦	坦	taan2
袒	袒	taan2
亶	亶	taan2
忐	忐	taan2
疸	疸	taan2
鉭	钽	taan2
碳	碳	taan3
歎	叹	taan3
炭	炭	taan3
壇	坛	taan4
彈	弹	taan4
檀	檀	taan4
榻	榻	taap3
塌	塌	taap3
塔	塔	taap3
漯	漯	taap3
遢	遢	taap3/taat3
韃	鞑	taat3
闥	闼	taat3
趿	趿	taat3
躂	跶	taat3
撻	挞	taat3
銻	锑	tai1
梯	梯	tai1
體	体	tai2
剃	剃	tai3
嚏	嚏	tai3
涕	涕	tai3
替	替	tai3
屜	屉	tai3
啼	啼	tai4
題	题	tai4
醍	醍	tai4
提	提	tai4
蹄	蹄	tai4
鵜	鹈	tai4
緹	缇	tai4
堤	堤	tai4
吞	吞	tan1
飩	饨	tan1
褪	褪	tan3
疼	疼	tang4
滕	滕	tang4
騰	腾	tang4
謄	誊	tang4
藤	藤	tang4
偷	偷	tau1
透	透	tau3
頭	头	tau4
投	投	tau4
骰	骰	tau4/sik1
踢	踢	tek3
推	推	teoi1
腿	腿	teoi2
蛻	蜕	teoi3
退	退	teoi3
頹	颓	teoi4
湍	湍	teon1/zyun1
彖	彖	teon3
盾	盾	teon5
倜	倜	tik1
忒	忒	tik1
剔	剔	tik1
鋱	铽	tik1
惕	惕	tik1
忑	忑	tik1
添	添	tim1
舔	舔	tim2
甜	甜	tim4
恬	恬	tim4
天	天	tin1
腆	腆	tin2
鈿	钿	tin4
填	填	tin4
田	田	tin4
闐	阗	tin4
滇	滇	tin4/din1
鈿	钿	tin4/din6
殄	殄	tin5/tim5
烴	烃	ting1
汀	汀	ting1
聽	听	ting1/teng1
廳	厅	ting1/teng1
聽	听	ting3
蜓	蜓	ting4
婷	婷	ting4
庭	庭	ting4
停	停	ting4
廷	廷	ting4
亭	亭	ting4
霆	霆	ting4
挺	挺	ting5
鋌	铤	ting5
艇	艇	ting5/teng5
帖	帖	tip3
貼	贴	tip3
萜	萜	tip3
鐵	铁	tit3
餮	餮	tit3
挑	挑	tiu1
跳	跳	tiu3
眺	眺	tiu3
調	调	tiu4
條	条	tiu4
迢	迢	tiu4
笤	笤	tiu4
髫	髫	tiu4
齠	龆	tiu4
窕	窕	tiu5
挑	挑	tiu5
拖	拖	to1
妥	妥	to2
橢	椭	to2
唾	唾	to3/toe3
沱	沱	to4
駝	驼	to4
陀	陀	to4
舵	舵	to4
馱	驮	to4
鴕	鸵	to4
佗	佗	to4
苔	苔	toi1
胎	胎	toi1
枱	台	toi4
跆	跆	toi4
台	台	toi4
苔	苔	toi4
薹	薹	toi4
抬	抬	toi4
颱	台	toi4
庹	庹	tok3
託	托	tok3
拓	拓	tok3
托	托	tok3
橐	橐	tok3
湯	汤	tong1
帑	帑	tong2
儻	傥	tong2
淌	淌	tong2
躺	躺	tong2
倘	倘	tong2
熨	熨	tong3
燙	烫	tong3
蹚	蹚	tong3
趟	趟	tong3
醣	醣	tong4
幢	幢	tong4
膛	膛	tong4
堂	堂	tong4
棠	棠	tong4
塘	塘	tong4
溏	溏	tong4
螳	螳	tong4
唐	唐	tong4
糖	糖	tong4/tong2
搪	搪	tong4/tong5
滔	滔	tou1
韜	韬	tou1
叨	叨	tou1
饕	饕	tou1
釷	钍	tou2
討	讨	tou2
禱	祷	tou2
土	土	tou2
套	套	tou3
吐	吐	tou3
兔	兔	tou3
圖	图	tou4
屠	屠	tou4
陶	陶	tou4
啕	啕	tou4
荼	荼	tou4
洮	洮	tou4
途	途	tou4
檮	梼	tou4
逃	逃	tou4
塗	涂	tou4
萄	萄	tou4
鼗	鼗	tou4
淘	淘	tou4
涂	涂	tou4
濤	涛	tou4
桃	桃	tou4
徒	徒	tou4
掏	掏	tou4
肚	肚	tou5
禿	秃	tuk1
通	通	tung1
桶	桶	tung2
統	统	tung2
捅	捅	tung2
筒	筒	tung2/tung4
痛	痛	tung3
瞳	瞳	tung4
僮	僮	tung4
同	同	tung4
峒	峒	tung4
彤	彤	tung4
桐	桐	tung4
潼	潼	tung4
童	童	tung4
酮	酮	tung4
銅	铜	tung4
佟	佟	tung4
衕	同	tung4
囤	囤	tyun4
豚	豚	tyun4
團	团	tyun4
屯	屯	tyun4
糰	团	tyun4
臀	臀	tyun4
斷	断	tyun5
脫	脱	tyut3
屋	屋	uk1
齆	齆	ung3
甕	瓮	ung3
窪	洼	waa1
娃	娃	waa1
蛙	蛙	waa1
嘩	哗	waa1
譁	哗	waa1
凹	凹	waa1
哇	哇	waa1
話	话	waa2
剮	剐	waa2
畫	画	waa2/waa6
驊	骅	waa4
華	华	waa4
划	划	waa4/waa1
踝	踝	waa5
華	华	waa6
話	话	waa6
樺	桦	waa6/waa4
歪	歪	waai1
槐	槐	waai4
懷	怀	waai4
淮	淮	waai4
壞	坏	waai6
惑	惑	waak6
劃	划	waak6
畫	画	waak6
或	或	waak6
灣	湾	waan1
彎	弯	waan1
綰	绾	waan2
玩	玩	waan2
頑	顽	waan4
寰	寰	waan4
玩	玩	waan4
還	还	waan4
環	环	waan4
鬟	鬟	waan4
輓	挽	waan5
挽	挽	waan5
幻	幻	waan6
宦	宦	waan6
患	患	waan6
橫	横	waang4
橫	横	waang6
挖	挖	waat3
斡	斡	waat3
猾	猾	waat6
滑	滑	waat6
威	威	wai1
委	委	wai1
崴	崴	wai1
逶	逶	wai1
葳	葳	wai1
猥	猥	wai2
卉	卉	wai2
痿	痿	wai2
毀	毁	wai2
喟	喟	wai2
萎	萎	wai2
委	委	wai2
蔚	蔚	wai3
餵	喂	wai3
穢	秽	wai3
慰	慰	wai3
尉	尉	wai3
喂	喂	wai3
畏	畏	wai3
薈	荟	wai3/wui6
為	为	wai4
闈	闱	wai4
維	维	wai4
圍	围	wai4
惟	惟	wai4
濰	潍	wai4
遺	遗	wai4
違	违	wai4
唯	唯	wai4
桅	桅	wai4
帷	帷	wai4
韙	韪	wai5
葦	苇	wai5
諱	讳	wai5
韋	韦	wai5
緯	纬	wai5
偉	伟	wai5
瑋	玮	wai5
為	为	wai6
蕙	蕙	wai6
渭	渭	wai6
衛	卫	wai6
胃	胃	wai6
彗	彗	wai6
蝟	猬	wai6
位	位	wai6
惠	惠	wai6
謂	谓	wai6
慧	慧	wai6
瘟	瘟	wan1
溫	温	wan1
氳	氲	wan1
穩	稳	wan2
醞	酝	wan3
蘊	蕴	wan3
搵	揾	wan3
慍	愠	wan3
蕓	芸	wan4
紜	纭	wan4
琿	珲	wan4
昀	昀	wan4
雲	云	wan4
芸	芸	wan4
鋆	鋆	wan4
餛	馄	wan4
云	云	wan4
筠	筠	wan4
暈	晕	wan4
耘	耘	wan4
妘	妘	wan4
勻	匀	wan4
渾	浑	wan4
魂	魂	wan4
隕	陨	wan5
狁	狁	wan5
尹	尹	wan5
殞	殒	wan5
允	允	wan5
鄆	郓	wan6
運	运	wan6
混	混	wan6
暈	晕	wan6
諢	诨	wan6
熨	熨	wan6
韻	韵	wan6/wan5
閎	闳	wang4
弘	弘	wang4
宏	宏	wang4
鬱	郁	wat1
屈	屈	wat1
鷸	鹬	wat6
聿	聿	wat6/leot6
域	域	wik6
閾	阈	wik6
蜮	蜮	wik6
扔	扔	wing1
嶸	嵘	wing4
榮	荣	wing4
永	永	wing5
泳	泳	wing6
穎	颖	wing6
詠	咏	wing6
潁	颍	wing6
蝸	蜗	wo1
窩	窝	wo1
渦	涡	wo1
撾	挝	wo1
媧	娲	wo1
萵	莴	wo1
倭	倭	wo1
鍋	锅	wo1
窠	窠	wo1/fo1
和	和	wo4
禾	禾	wo4
禍	祸	wo6
穫	获	wok6
鑊	镬	wok6
獲	获	wok6
汪	汪	wong1
枉	枉	wong2
惶	惶	wong4
潢	潢	wong4
磺	磺	wong4
凰	凰	wong4
徨	徨	wong4
簧	簧	wong4
蟥	蟥	wong4
王	王	wong4
皇	皇	wong4
煌	煌	wong4
遑	遑	wong4
蝗	蝗	wong4
黃	黄	wong4
隍	隍	wong4
往	往	wong5
旺	旺	wong6
惡	恶	wu1
嗚	呜	wu1
鄔	邬	wu1
鎢	钨	wu1
烏	乌	wu1
污	污	wu1
滸	浒	wu2
塢	坞	wu2
惡	恶	wu3
狐	狐	wu4
鬍	胡	wu4
衚	胡	wu4
鶘	鹕	wu4
弧	弧	wu4
胡	胡	wu4
醐	醐	wu4
煳	煳	wu4
葫	葫	wu4
壺	壶	wu4
湖	湖	wu4
餬	糊	wu4
蝴	蝴	wu4
瑚	瑚	wu4
猢	猢	wu4
糊	糊	wu4
芋	芋	wu6
扈	扈	wu6
怙	怙	wu6
互	互	wu6
滬	沪	wu6
祜	祜	wu6
護	护	wu6
戶	户	wu6
瓠	瓠	wu6/wu4
偎	偎	wui1
徊	徊	wui4
回	回	wui4
洄	洄	wui4
迴	回	wui4
蛔	蛔	wui4
會	会	wui5
會	会	wui6
燴	烩	wui6
匯	汇	wui6
彙	汇	wui6/wai6
會	会	wui6/wui2
剜	剜	wun1
腕	腕	wun2
莞	莞	wun2
碗	碗	wun2
惋	惋	wun2/jyun2
豌	豌	wun2/wun1
玩	玩	wun2/wun6
垣	垣	wun4
桓	桓	wun4
援	援	wun4/jyun4
浣	浣	wun5
皖	皖	wun5
瘓	痪	wun6
喚	唤	wun6
換	换	wun6
煥	焕	wun6
緩	缓	wun6
玩	玩	wun6
奐	奂	wun6
活	活	wut6
齇	齇	zaa1
楂	楂	zaa1
渣	渣	zaa1
糌	糌	zaa1
吒	吒	zaa1
咱	咱	zaa1
抓	抓	zaa1/zaau2
詐	诈	zaa3
乍	乍	zaa3
咋	咋	zaa3
榨	榨	zaa3
咤	咤	zaa3
炸	炸	zaa3
蚱	蚱	zaa3/zaak3
膪	膪	zaa6
嵖	嵖	zaa6
齎	赍	zaai1
齋	斋	zaai1
債	债	zaai3
眥	眦	zaai6
寨	寨	zaai6
責	责	zaak3
窄	窄	zaak3
嘖	啧	zaak3
宅	宅	zaak6
擲	掷	zaak6
擇	择	zaak6
澤	泽	zaak6
摘	摘	zaak6
謫	谪	zaak6
躑	踯	zaak6
嶄	崭	zaam2
斬	斩	zaam2
蘸	蘸	zaam3
湛	湛	zaam3
站	站	zaam6
暫	暂	zaam6
鏨	錾	zaam6
攢	攒	zaan2
趲	趱	zaan2
盞	盏	zaan2
讚	赞	zaan3
贊	赞	zaan3
饌	馔	zaan6
棧	栈	zaan6
綻	绽	zaan6
撰	撰	zaan6
賺	赚	zaan6
掙	挣	zaang6
眨	眨	zaap3
砸	砸	zaap3
咂	咂	zaap3
匝	匝	zaap3
閘	闸	zaap6
隰	隰	zaap6
集	集	zaap6
習	习	zaap6
雜	杂	zaap6
什	什	zaap6
襲	袭	zaap6
札	札	zaat3
鍘	铡	zaat3
扎	扎	zaat3
軋	轧	zaat3
拶	拶	zaat3
紮	紮	zaat3
嘲	嘲	zaau1
爪	爪	zaau2
找	找	zaau2
罩	罩	zaau3
齏	齑	zai1
躋	跻	zai1
擠	挤	zai1
劑	剂	zai1
仔	仔	zai2
濟	济	zai2
掣	掣	zai3
祭	祭	zai3
製	制	zai3
霽	霁	zai3
濟	济	zai3
際	际	zai3
制	制	zai3
滯	滞	zai6
側	侧	zak1
昃	昃	zak1
則	则	zak1
仄	仄	zak1
斟	斟	zam1
針	针	zam1
砧	砧	zam1
箴	箴	zam1
簪	簪	zam1
怎	怎	zam2
枕	枕	zam2
枕	枕	zam3
浸	浸	zam3
朕	朕	zam6
鴆	鸩	zam6
珍	珍	zan1
真	真	zan1
胗	胗	zan1
疹	疹	zan2
軫	轸	zan2/can2
振	振	zan3
震	震	zan3
賑	赈	zan3
鎮	镇	zan3
圳	圳	zan3
陣	阵	zan6
僧	僧	zang1
增	增	zang1
憎	憎	zang1
曾	曾	zang1
箏	筝	zang1
錚	铮	zang1
崢	峥	zang1
猙	狰	zang1/zaang1
爭	争	zang1/zaang1
睜	睁	zang1/zaang1
掙	挣	zang1/zaang1
贈	赠	zang6
執	执	zap1
汁	汁	zap1
質	质	zat1
蛭	蛭	zat6
姪	侄	zat6
窒	窒	zat6
桎	桎	zat6
疾	疾	zat6
蟄	蛰	zat6
嫉	嫉	zat6
周	周	zau1
舟	舟	zau1
諏	诹	zau1
州	州	zau1
揪	揪	zau1
週	周	zau1
洲	洲	zau1
謅	诌	zau1
鄒	邹	zau1
陬	陬	zau1
輈	辀	zau1
走	走	zau2
酒	酒	zau2
肘	肘	zau2
帚	帚	zau2
縐	绉	zau3
奏	奏	zau3
揍	揍	zau3
晝	昼	zau3
皺	皱	zau3
咒	咒	zau3
岫	岫	zau6
鷲	鹫	zau6
冑	冑	zau6
袖	袖	zau6
就	就	zau6
紂	纣	zau6
宙	宙	zau6
驟	骤	zau6
嗟	嗟	ze1
遮	遮	ze1
者	者	ze2
姐	姐	ze2
柘	柘	ze3
蔗	蔗	ze3
借	借	ze3
這	这	ze5/ze3
謝	谢	ze6
隻	只	zek3
鄭	郑	zeng6/zing6
狙	狙	zeoi1
追	追	zeoi1
椎	椎	zeoi1
錐	锥	zeoi1
蛆	蛆	zeoi1/ceoi1
嘴	嘴	zeoi2
咀	咀	zeoi2
齟	龃	zeoi2
沮	沮	zeoi2
惴	惴	zeoi3
最	最	zeoi3
醉	醉	zeoi3
贅	赘	zeoi3
聚	聚	zeoi6
罪	罪	zeoi6
序	序	zeoi6
嶼	屿	zeoi6
漵	溆	zeoi6
墜	坠	zeoi6
敘	叙	zeoi6
綴	缀	zeoi6/zeoi3
諄	谆	zeon1
臻	臻	zeon1
榛	榛	zeon1
津	津	zeon1
樽	樽	zeon1
